Date,Time,Count Indiv,Notes Indiv,Count Cam 1,Notes Cam 1,Count Cam 2,Notes Cam 2,Count Cam 3,Notes Cam 3,Count Cam 4,Notes Cam 4,General Notes
13/08/2025,AM,36,-,4,-,4,-,4,-,2,"visible buts of carcass left, not much just the big guy and one other left, hiding against outlet again, moved","Ration increased in AM to 3 pellets per animal, cam three and some individuals ate all of 2 pellets per"
13/08/2025,PM,36,"Siphoned 18, it seems ok",4,-,4,-,4,-,2,"small animal hiding again, moved",-
14/08/2025,AM,36,"Number 20 looks like it is dying stuck to drain, hasn't eaten in days, very small, has rolled over but still tail flips when touched",3,"Carcass partially eaten, missing only legs and belly, might not be fully post moult a little squishy",4,one about to moult via liths (within 24 hours),4,-,2,"small animal hiding again, moved",-
14/08/2025,PM,35,"20 is dead, see photos, fairly visible liths and brown back like the ones that exploded post moult, but doesn't appear to have moulted",3,-,3,"mostly consumed carcass visible in pieces, very little left",4,-,2,-,-
15/08/2025,AM,35,-,3,-,3,-,4,-,2,"small animal hiding again, moved",-
15/08/2025,PM,35,-,3,-,3,animal missing both antennae,4,-,2,"small animal hiding again, moved, very little of pellets eaten",-
16/08/2025,AM,35,-,3,-,3,-,4,-,2,"big guy moulted, now at least 5x the size of the other one, very little pellet eaten",-
16/08/2025,PM,35,-,3,-,3,-,4,-,2,"small animal hiding again, moved",-
17/08/2025,AM,35,-,3,-,3,-,4,-,2,"small animal hiding again, moved",-
17/08/2025,PM,35,-,3,-,3,-,4,-,2,"small aniaml hiding again, moved",-
18/08/2025,AM,35,-,3,-,3,-,4,animal observed trying to pull legs off other,2,"small animal hiding on drain again, moved",-
18/08/2025,PM,35,Lots of moults,3,-,2,"was 3 when I started siphoning with one looking heavily damaged, missing legs, upside down, animal was then killed and began to be consumed as I was siphoning. Probably 1/4 eaten then carcass abandoned",4,-,1,"we have a winner, one peice of carapace from other is visible, that's it",-
19/08/2025,AM,35,-,3,-,2,carcass from last night gone except gastroliths,4,-,1,-,"Several have eaten all pellets, ration increased to 4 pellets"
19/08/2025,PM,35,-,3,smaller animals missing 1 and 2 claws,2,-,4,-,1,-,-
20/08/2025,AM,35,-,3,-,2,-,4,only one has all claws,1,-,-
20/08/2025,PM,35,-,3,-,2,-,4,-,1,-,-
21/08/2025,AM,35,-,2,half of carcass left (head half),1,"most of carcass gone, looks 'hollowed out' with shell left",3,"a little of carcass left, but just shell fragments",1,-,"All carcasses removed on this day were a bit crispy, possible not post moult"
21/08/2025,PM,35,-,2,-,1,-,3,-,1,-,-
22/08/2025,AM,35,-,2,-,1,-,3,"one has 2 claws, others each only have one",1,-,"End! Over all 20 individuals and 4 co-reared survived on the right table and 15 individuals and 4 co-reared survived on the left table. Many of the individual deaths were near the door which is interesting. First set of final day carapace length photos is the left table, the second set is the right table."
